COGIDS	CONCEPT	GLOSS	PMX	TONE_GROUP	PMX_Josserand1983	JosserandID	PMX_Durr1987	PMXTone_Durr1987	DurrID	PMX_SwantonMendoza2021	PMXTone_SwantonMendoza2021	SwantonMendoza_ID	PMX_Swanton2021	PMXTone_Swanton2021	SwantonID	COMMENT
1	DAY (NOT NIGHT)	de día	ⁿduᴴwiᴴʔ	A8												
2	ANIMAL	animal	kɨᴴtɨᴴʔ	A2	kɨtɨʔ	35	kɨtɨʔ	HHʔ	1	kɨtɨʔ	HHʔ	10	kɨtɨʔ	HHʔ	44	
4	CLF.?	clasificador ?	tɨᴸ													classifier (not animate, meaning not known)
5	ASH	ceniza	jaᴸaᴸʔ	B2												small set
6	AUNT	tía	siᴴsiᴸ	C2			sisi	HL	35							
8	AVOCADO	aguacate	tɨᴴtiʔᴴ	A6												the first vowel cannot be i, the reflexes would not fit with that
9	CLF.ANIMAL	clasificador animal	tɨᴸ											L		classifier for animals
11	BACK	espalda	?aᴸtaᴸʔ	B2									tʃataʔ	LLʔ	118	the reflexes of the initial consonant do coincide with any other correspondence set; the Alta varieties look like they have *j, the Costa and part of the Alta like *tʃ, the Baja like *s; needs further research
13	BANANA	plátano	ⁿdɨᴴkaᴴ	A2												
14	BANANA	plátano	tiᴴteᴸ	C3												
17	OVEN	horno	tʃiᴸtũᴸ	B1	xitũ	54				tʃitũ	LL	42	tʃitũ	LL	133	not totally sure about final vowel
18	BASKET	canasta	tiᴴkaᴴ	A3												
19	TORTILLA BASKET	tenate	ⁿdoᴸʔoᴸʔ	B2												
24	BEAN	frijol(es)	ⁿduᴴtiᴴʔ	A2	ⁿdutiʔ	21		HHʔ	3		HHʔ		nutiʔ	HHʔ	80	
26	BED	cama, lecho	tʃiᴸtoᴴ	D1	xito	18										
29	BEE	abeja	juᴸjũᴸʔ	B2												
32	CLF.WOOD	clasificador madera	tũ													
33	BEESWAX	cera	juᴸwẽᴸʔ	B2	juwẽʔ	7										
35	CLF.ANIMAL	clasificador animal	ⁿdɨ													classifer for animals; not sure about tone, but most probably wasn’t low
36	BELLY OR STOMACH	barriga	tiᴸtʃĩᴴ	D1			tixi	LH	46							the initial ti doesn’t give the right reflexes in most varieties, maybe it’s tɨ?; some exceptions to the tone groups
42	BIG (PLURAL)	grande.PL	naᴴʔnuᴴʔ	A4												
44	BIG (SINGULAR)	grande.SG	kaᴴʔnuᴴʔ	A4	kaʔnuʔ	65	kaʔnuʔ	M	98	(ʔ2)-kaʔnuʔ	ʔ2-HH	58				
49	BIRD	pájaro	saᴴaᴸ	C1	tɨ+laa	147	tɨ+laa	HL	37							
51	BITTER	amargo	oᴸweᴸ	B1	owe	29										
55	BLACK	negro	ⁿdeᴴʔjiᴴ	A8?												little data, not enough for tone group
61	BLAME	culpa	kʷeᴸtiᴴ	D1	kʷeti	20				kʷeti	LH	46	kʷeti	LH	59	
65	BLOOD	sangre	nɨᴸjɨᴸʔ	B2	nɨjɨʔ	39				nɨjɨ̃ʔ	LLʔ	31				
66	BLOUSE (WOVEN)	huipil	siᴸkõᴸ	B1	sikõ	48				sikõ	LL	40	sikõ	LL	90	
69	BLOUSE (WOVEN)	camisa	soʔno	B2									soʔnõʔ	LLʔ	96	
74	BONE	hueso	jɨᴴkɨᴴʔ	A2				HHʔ	11				jɨkɨʔ	HHʔ	19	little data, but very regular; one has a nasal vowel
79	BOX OR CHEST	caja	tʃeᴸtũᴸʔ	B2	xetũʔ	55										
84	BROTHER (OF MAN)	hermano de hombre	jeᴴniᴸ	C1	jeni	25	jeni	HL	40	jenĩ	HL	22				
87	CAT	gato														probably a wanderwort, not reconstructable
88	CAT	gato														probably a wanderwort, not reconstructable
91	CAT	gato	wiluʔ		wiluʔ	117										probably its own tone set
93	CHARCOAL	carbón	tuᴸũᴸʔ	B2												
93	BLACK	negro	tuᴸũᴸʔ	B4?			tuũʔ	M	95							
96	CHAYOTE	chayote	naᴴjãᴴ	A2												
99	HEN	pollo, gallina	utʃiᴴʔ	A8												
103	CHILD (DESCENDANT)	hijo, hija	saᴸʔjeᴴ	D1	saʔji	110		LH	54	saʔjV	LH	48	saʔja	LH	84	a is definitely a possibility, but e requires less changes
107	CHILI PEPPER	chile	jaᴴʔaᴴʔ	A2			jaʔaʔ	HHʔ	12	jaʔaʔ	HHʔ	4				
112	CLOTH OR CLOTHES	tela, ropa	saᴴʔwãᴴʔ	A2				HHʔ		saʔwãʔ			saʔwãʔ	HHʔ	88	
120	CLOUD	nube	wiᴸkoᴸʔ	B2									wikoʔ	LLʔ	139	
129	COLD	frio	wiᴸtʃĩᴴ	D1	wixĩ	124		LH	59	witʃĩ	LH	51	witʃĩ	LH	145	
136	COMB	peine	kʷiᴸkaᴸ	B1	ku (i)ka	172	kuka	LL	77							
138	COOKING POT	olla	kɨᴸsɨᴴ	D1	kɨsɨ	94		LH	49	kɨsɨ	LH	45	kɨsɨ	LH	43	
141	CORN	maíz	noᴸniᴸʔ	B2	noniʔ	85		LLʔ	73	nonĩʔ	LLʔ	33	nonĩʔ	LLʔ	79	
142	CORN DOUGH	masa	juᴴtʃẽᴴʔ	A2	juxẽʔ	109										
145	CORN FIELD	milpa	iᴴtuᴸ	C1	itu	169										
146	CORN FIELD	milpa	wiju													
150	CORN STALK	rastrojo	jaᴸwãᴸʔ	B1	jawãʔ	108				jawãʔ	LLʔ	26	jawãʔ	LLʔ	12	
157	COTTON	algodón	kaᴸtiᴸʔ	B2	katiʔ	50		LLʔ	64	katiʔ	LLʔ	29	katiʔ	LLʔ	39	
159	CROSS-SEX SIBLING	hermano/a de genero opuesto	kuᴸʔwaᴴ	D1			kʷaʔa	LH	52							
161	MAMEY/ZAPOTE	mamey, zapote	ⁿdoᴴkoᴴʔ	A2												
163	DAY (24 HOURS)	día	kɨᴸwɨᴸʔ	B2	kɨwɨʔ	154		LLʔ	63				kɨwɨʔ	LLʔ	46	
164	DEER	venado	iᴴsuᴸ	C1	isu	12		HL	43				isu	HL	7	
167	DEW	rocío	juᴴjuᴴʔ	A7	jujuʔ	178				(ʔ)-jujoʔ	ʔ-HHʔ	52				only one language in our sample has an o and all other reflexes fit with final *ju
